Channel;Name;EPGSourceID;DefaultSched;FocusedLogo;ServiceLanguage;Resolution;3D;Radio;Adult;Operator Locked Cron;ServiceGroup;TSTVProductizingRule;GuardTimePreOffset;GuardTimePostOffset
CL_13C_HD;13C HD;1653044099;;http://staticqbr-cl-prod.vtrprod.cdn.dmdsdp.com/image-service/ImagesEPG/EventImages/13C_HD.png;ES;HD;;;;;crid://vtr.tv/LinearTestServiceGroup;;;
CL_24Horas_HD;24 Horas HD;3272215135;;http://staticqbr-cl-prod.vtrprod.cdn.dmdsdp.com/image-service/ImagesEPG/EventImages/24Horas_HD.png;ES;HD;;;;;crid://vtr.tv/LinearTestServiceGroup;;;
CL_AXN_HD;AXN HD;5546842456;;http://staticqbr-cl-prod.vtrprod.cdn.dmdsdp.com/image-service/ImagesEPG/EventImages/AXN_HD.png;ES;HD;;;;;crid://vtr.tv/LinearTestServiceGroup;;;
CL_Boomerang_HD;Boomerang HD;4505658347;;http://staticqbr-cl-prod.vtrprod.cdn.dmdsdp.com/image-service/ImagesEPG/EventImages/Boomerang_HD.png;ES;HD;;;;;crid://vtr.tv/LinearTestServiceGroup;1;300000;300000
CL_CartoonNetwork_HD;Cartoon Network HD;1612351388;;http://staticqbr-cl-prod.vtrprod.cdn.dmdsdp.com/image-service/ImagesEPG/EventImages/CartoonNetwork_HD.png;ES;HD;;;;;crid://vtr.tv/LinearTestServiceGroup;1;300000;300000
CL_Cinemax_HD;Cinemax HD;1419945862;;http://staticqbr-cl-prod.vtrprod.cdn.dmdsdp.com/image-service/ImagesEPG/EventImages/Cinemax_HD.png;ES;HD;;;;;crid://vtr.tv/LinearTestServiceGroup;;;
CL_DiscoveryChannel_HD;Discovery Channel HD;1483412889;;http://staticqbr-cl-prod.vtrprod.cdn.dmdsdp.com/image-service/ImagesEPG/EventImages/DiscoveryChannel_HD.png;ES;HD;;;;;crid://vtr.tv/LinearTestServiceGroup;;;
CL_Cinecanal_HD;Cinecanal HD;3631348151;;http://staticqbr-cl-prod.vtrprod.cdn.dmdsdp.com/image-service/ImagesEPG/EventImages/Cinecanal_HD.png;ES;HD;;;;;crid://vtr.tv/LinearTestServiceGroup;;;
CL_CNN_Chile_HD;CNN Chile HD;4505665992;;http://staticqbr-cl-prod.vtrprod.cdn.dmdsdp.com/image-service/ImagesEPG/EventImages/CNNChile_HD.png;ES;HD;;;;;crid://vtr.tv/LinearTestServiceGroup;;;
CL_ESPN2_HD;ESPN 2 HD;3141994412;;http://staticqbr-cl-prod.vtrprod.cdn.dmdsdp.com/image-service/ImagesEPG/EventImages/ESPN2_HD.png;ES;HD;;;;;crid://vtr.tv/LinearTestServiceGroup;1;300000;300000
CL_ESPN3_HD;ESPN 3 HD;69045542;;http://staticqbr-cl-prod.vtrprod.cdn.dmdsdp.com/image-service/ImagesEPG/EventImages/ESPN3_HD.png;ES;HD;;;;;crid://vtr.tv/LinearTestServiceGroup;;;
CL_ESPN_HD;ESPN HD;1818813108;;http://staticqbr-cl-prod.vtrprod.cdn.dmdsdp.com/image-service/ImagesEPG/EventImages/ESPN_HD.png;ES;HD;;;;;crid://vtr.tv/LinearTestServiceGroup;1;300000;300000
CL_Fox_HD;Fox HD;4075607817;;http://staticqbr-cl-prod.vtrprod.cdn.dmdsdp.com/image-service/ImagesEPG/EventImages/Fox_HD.png;ES;HD;;;;;crid://vtr.tv/LinearTestServiceGroup;;;
CL_FoxLife_HD;Fox Life HD;3141999492;;http://staticqbr-cl-prod.vtrprod.cdn.dmdsdp.com/image-service/ImagesEPG/EventImages/FoxLife_HD.png;ES;HD;;;;;crid://vtr.tv/LinearTestServiceGroup;;;
CL_FX_HD;FX HD;1897399696;;http://staticqbr-cl-prod.vtrprod.cdn.dmdsdp.com/image-service/ImagesEPG/EventImages/FX_HD.png;ES;HD;;;;;crid://vtr.tv/LinearTestServiceGroup;;;
CL_GolTV_HD;Gol TV HD;1419807144;;http://staticqbr-cl-prod.vtrprod.cdn.dmdsdp.com/image-service/ImagesEPG/EventImages/GolTV_HD.png;ES;HD;;;;;crid://vtr.tv/LinearTestServiceGroup;;;
CL_HBO_HD;HBO HD;69046965;;http://staticqbr-cl-prod.vtrprod.cdn.dmdsdp.com/image-service/ImagesEPG/EventImages/HBO_HD.png;ES;HD;;;;;crid://vtr.tv/LinearTestServiceGroup;1;300000;300000
CL_NationalGeographic_HD;National Geographic HD;3930404714;;http://staticqbr-cl-prod.vtrprod.cdn.dmdsdp.com/image-service/ImagesEPG/EventImages/NationalGeographic_HD.png;ES;HD;;;;;crid://vtr.tv/LinearTestServiceGroup;;;
CL_Foxactions_HD;Fox actions HD;69043992;;http://staticqbr-cl-prod.vtrprod.cdn.dmdsdp.com/image-service/ImagesEPG/EventImages/Foxactions_HD.png;ES;HD;;;;;crid://vtr.tv/LinearTestServiceGroup;;;
CL_FoxFamily_HD;Fox Family HD;648906382;;http://staticqbr-cl-prod.vtrprod.cdn.dmdsdp.com/image-service/ImagesEPG/EventImages/FoxFamily_HD.png;ES;HD;;;;;crid://vtr.tv/LinearTestServiceGroup;;;
CL_Space_HD;Space HD;1419817466;;http://staticqbr-cl-prod.vtrprod.cdn.dmdsdp.com/image-service/ImagesEPG/EventImages/Space_HD.png;ES;HD;;;;;crid://vtr.tv/LinearTestServiceGroup;1;300000;300000
CL_FoxSeries_HD;Fox Series HD;69031722;;http://staticqbr-cl-prod.vtrprod.cdn.dmdsdp.com/image-service/ImagesEPG/EventImages/FoxSeries_HD.png;ES;HD;;;;;crid://vtr.tv/LinearTestServiceGroup;;;
CL_Foxsports1_HD;Fox sports 1 HD;1489286138;;http://staticqbr-cl-prod.vtrprod.cdn.dmdsdp.com/image-service/ImagesEPG/EventImages/Foxsports1_HD.png;ES;HD;;;;;crid://vtr.tv/LinearTestServiceGroup;;;
CL_FoxSports2_HD;Fox Sports 2 HD;1134869025;;http://staticqbr-cl-prod.vtrprod.cdn.dmdsdp.com/image-service/ImagesEPG/EventImages/FoxSports2_HD.png;ES;HD;;;;;crid://vtr.tv/LinearTestServiceGroup;;;
CL_StudioUniversal_HD;Studio Universal HD;4866434573;;http://staticqbr-cl-prod.vtrprod.cdn.dmdsdp.com/image-service/ImagesEPG/EventImages/StudioUniversal_HD.png;ES;HD;;;;;crid://vtr.tv/LinearTestServiceGroup;1;300000;300000
CL_TNT_HD;TNT HD;4160409402;;http://staticqbr-cl-prod.vtrprod.cdn.dmdsdp.com/image-service/ImagesEPG/EventImages/TNT_HD.png;ES;HD;;;;;crid://vtr.tv/LinearTestServiceGroup;1;300000;300000
CL_HBOfamily_HD;HBO family HD;441697453;;http://staticqbr-cl-prod.vtrprod.cdn.dmdsdp.com/image-service/ImagesEPG/EventImages/HBOfamily_HD.png;ES;HD;;;;;crid://vtr.tv/LinearTestServiceGroup;;;
CL_TNTSeries_HD;TNT Series HD;1462684619;;http://staticqbr-cl-prod.vtrprod.cdn.dmdsdp.com/image-service/ImagesEPG/EventImages/TNTSeries_HD.png;ES;HD;;;;;crid://vtr.tv/LinearTestServiceGroup;;;
CL_UniversalChannel_HD;Universal Channel HD;69038904;;http://staticqbr-cl-prod.vtrprod.cdn.dmdsdp.com/image-service/ImagesEPG/EventImages/UniversalChannel_HD.png;ES;HD;;;;;crid://vtr.tv/LinearTestServiceGroup;;;
CL_Maxprime_HD;Max prime HD;444082240;;http://staticqbr-cl-prod.vtrprod.cdn.dmdsdp.com/image-service/ImagesEPG/EventImages/Maxprime_HD.png;ES;HD;;;;;crid://vtr.tv/LinearTestServiceGroup;;;
CL_MTV_HD;MTV HD;3142060765;;http://staticqbr-cl-prod.vtrprod.cdn.dmdsdp.com/image-service/ImagesEPG/EventImages/MTV_HD.png;ES;HD;;;;;crid://vtr.tv/LinearTestServiceGroup;;;
CL_NatGeoKids_HD;Nat Geo Kids HD;5397722892;;http://staticqbr-cl-prod.vtrprod.cdn.dmdsdp.com/image-service/ImagesEPG/EventImages/NatGeoKids_HD.png;ES;HD;;;;;crid://vtr.tv/LinearTestServiceGroup;;;
CL_Playboy_HD;Playboy HD;69039814;;http://staticqbr-cl-prod.vtrprod.cdn.dmdsdp.com/image-service/ImagesEPG/EventImages/Playboy_HD.png;ES;HD;;;;;crid://vtr.tv/LinearTestServiceGroup;;;
